model,k,group,n,median_km,p90_km,within_150km,logscore,entropy_bits,area50_km2,cover50,cover50_lo,cover50_hi,area80_km2,cover80,cover80_lo,cover80_hi,area95_km2,cover95,cover95_lo,cover95_hi
net+mix,14,mover_0_500km,113,369.45709228515625,1179.8029541015624,0.18584070796460178,-8.72431318138881,12.77281970400357,160748.171875,0.415929203539823,,,839165.25,0.8141592920353983,,,2749548.75,0.9911504424778761,,
net+mix,14,mover_500_1500km,319,1051.671630859375,1854.6991455078123,0.009404388714733543,-10.505031265683746,13.02991531362391,203021.21875,0.12225705329153605,,,1007651.125,0.48589341692789967,,,2825692.0,0.890282131661442,,
net+mix,14,mover_1500km_plus,431,2488.722900390625,3800.502197265625,0.002320185614849188,-10.701138619942517,12.799060988990725,166313.265625,0.09976798143851508,,,910463.0625,0.48491879350348027,,,2903211.0,0.8468677494199536,,
bayes(rho=0),14,all,6000,352.1038055419922,2322.2146240234392,0.33416666666666667,-8.115391127519715,12.534077242872193,153042.828125,0.6083333333333333,,,700483.34375,0.8468333333333333,,,2054282.875,0.9368333333333333,,
bayes(rho=0),14,stayer,5137,258.39874267578125,1814.1689453125002,0.38251897994938683,-7.608298563787995,12.529671920957876,152946.890625,0.6838621763675297,0.6710135727454236,0.6964359903766923,697819.25,0.9277788592563753,0.9203758854619115,0.9345424998857326,2048269.25,0.9885146972941405,0.985214117582197,0.9910851716236794
bayes(rho=0),14,mover,863,1454.6875,3523.8458984375006,0.046349942062572425,-11.133855206186974,12.55031861136625,154000.140625,0.15874855156431056,0.13588605635466974,0.18463570909821117,707752.8125,0.3650057937427578,0.33354898922986975,0.397659111535022,2102379.0,0.6292004634994206,0.5964676528352811,0.6607881133854446
bayes(rho=0),14,mover_0_500km,113,369.45709228515625,1318.372729492187,0.20353982300884957,-8.754332508430398,12.363296254204194,121953.296875,0.39823008849557523,,,598381.125,0.6814159292035398,,,1830173.75,0.911504424778761,,
bayes(rho=0),14,mover_500_1500km,319,992.9415893554688,1730.4398681640623,0.018808777429467086,-11.184061897126538,12.656476609422572,173313.390625,0.14420062695924765,,,750887.5625,0.3385579937304075,,,2130945.0,0.6269592476489029,,
bayes(rho=0),14,mover_1500km_plus,431,2419.17529296875,3788.6083984375,0.025522041763341066,-11.72056084525141,12.52697656230107,151575.125,0.10672853828306264,,,706779.6875,0.30162412993039445,,,2115788.75,0.5568445475638051,,
bayes(rho=0)@cluster,14,all,6000,348.2690887451172,2288.4441650390636,0.339,-8.165194200346404,12.56806225852866,158242.6796875,0.6031666666666666,,,717536.3125,0.848,,,2099125.375,0.9381666666666667,,
bayes(rho=0)@cluster,14,stayer,5137,250.62542724609375,1771.983764648438,0.3893322951138797,-7.672675784086881,12.564525699125117,158457.96875,0.6772435273505937,0.6643298619510374,0.6898922949813995,715362.75,0.9266108623710336,0.9191563553535828,0.9334277818429416,2090210.375,0.9885146972941405,0.985214117582197,0.9910851716236794
bayes(rho=0)@cluster,14,mover,863,1450.7960205078125,3511.04560546875,0.039397450753186555,-11.096905792843705,12.580394355888393,156977.5625,0.16222479721900349,0.13913419091471704,0.18830925434679327,725606.0,0.38006952491309387,0.3482827645137155,0.41291928208857037,2144210.5,0.6384704519119351,0.6058672179749345,0.669846361068803
bayes(rho=0)@cluster,14,mover_0_500km,113,365.03839111328125,1144.7831298828123,0.18584070796460178,-8.681739988225353,12.378784129903586,126608.125,0.40707964601769914,,,640443.3125,0.7079646017699115,,,1880407.125,0.9203539823008849,,
bayes(rho=0)@cluster,14,mover_500_1500km,319,995.28662109375,1821.2422851562499,0.009404388714733543,-11.169682302623734,12.68756430079334,177528.8125,0.14420062695924765,,,773928.875,0.3448275862068966,,,2168571.25,0.6300940438871473,,
bayes(rho=0)@cluster,14,mover_1500km_plus,431,2440.50830078125,3788.106201171875,0.02320185614849188,-11.6762515684865,12.550104946504609,154378.328125,0.11136890951276102,,,717595.0625,0.32018561484918795,,,2163264.75,0.5707656612529002,,
bayes(rho=0)+mix,14,all,6000,356.3324737548828,2328.7562744140673,0.3315,-8.101662581166133,12.936336550356874,202998.0390625,0.6551666666666667,,,955472.84375,0.8858333333333334,,,2750224.125,0.9698333333333333,,
bayes(rho=0)+mix,14,stayer,5137,262.3528747558594,1834.2205566406262,0.37920965544091884,-7.730601382393631,12.93405025538501,202661.53125,0.731166050223866,0.718872454984825,0.7431141582576449,951639.0,0.9495814677827525,0.9432547179687908,0.9552362995330904,2747135.0,0.9912400233599377,0.9882993210047764,0.9934465472203795
